"Name","State","Notes","User","Tags","Created","Runtime","alpha","lr_Q","lr_V","lr_all","memory_bypass","n_actions","n_obs","n_states","normalize","num_desired_trajectories","random_feature_dim","reset_every","seed","state_dim","trajectory_length","update_state_given_obs","dseed","env_args.cols","env_args.levels","env_args.rows","env_type","batch_size","d_model","eps_M","hidden_size","include_init_state_info","lr_M","max_iter_M","memory_bias","model","n_heads","reg_M","reg_Q","reg_V","loss","sa_accuracy","sa_conf","sa_dist_ratio","test_accuracy","test_conf","train/epoch_ct","train/loss","train/mloss_p_epoch","train/mloss_p_traj","train/step_ct","train/traj_ct","train_acc","train_conf"
"tree_{'levels': 3}_sdim_1000_rfdim_500_lrV_0.04_seed_69","finished","-","","","2025-01-23T19:30:38.000Z","369","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","69","1000","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.5108914251128832","0.5144216607901632","0.5388257575757576","0.3694987012058949","14","NaN","3.943703376885616","NaN","3960","360","0.5375828598484849","0.3704840690374057"
"tree_{'levels': 3}_sdim_200_rfdim_500_lrV_0.04_seed_69","finished","-","","","2025-01-23T19:13:41.000Z","1015","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","69","200","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.5494048794110616","0.48443734002600225","0.5620857007575758","0.3997308671016286","40","2.5543932914733887","3.701564192771912","3.7368470322002065","10560","960","0.5464607007575758","0.3911170600709062"
"tree_{'levels': 3}_sdim_100_rfdim_500_lrV_0.04_seed_69","finished","-","","","2025-01-23T19:05:57.000Z","463","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","69","100","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.4677522052079439","0.5648000081734013","0.4660866477272727","0.32493770126741034","25","NaN","3.8626105681513296","NaN","6864","624","0.45928030303030304","0.32121793355741884"
"tree_{'levels': 3}_sdim_20_rfdim_500_lrV_0.04_seed_69","finished","-","","","2025-01-23T18:57:17.000Z","518","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","69","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.75","0.6365122669376433","0.4561280205589034","0.6336410984848485","0.500206222788446","40","1.3700311183929443","2.88225642072432","2.4989392323927446","10560","960","0.6336410984848485","0.5043418875119414"
"tree_{'levels': 3}_sdim_1000_rfdim_500_lrV_0.04_seed_68","finished","-","","","2025-01-23T18:40:49.000Z","986","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","68","1000","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.4851091094315052","0.5197522532564179","0.5018347537878788","0.34616641384662794","36","NaN","3.843532292680307","NaN","9768","888","0.5078125","0.35262600563745156"
"tree_{'levels': 3}_sdim_200_rfdim_500_lrV_0.04_seed_68","finished","-","","","2025-01-23T18:22:56.000Z","1072","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","68","200","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.4848284460604191","0.541308795652882","0.5201231060606061","0.3659274528343675","40","2.095360279083252","3.1681261961207245","3.4979653575203637","10560","960","0.5108901515151515","0.3592540614278291"
"tree_{'levels': 3}_sdim_100_rfdim_500_lrV_0.04_seed_68","finished","-","","","2025-01-23T18:16:05.000Z","409","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","68","100","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.75","0.36700946434090537","0.5841067167053848","0.3552911931818182","0.26703856211982685","40","1.6028227806091309","2.8326133295442117","2.8093323599208486","10560","960","0.3443418560606061","0.25923615896273544"
"tree_{'levels': 3}_sdim_20_rfdim_500_lrV_0.04_seed_68","finished","-","","","2025-01-23T18:13:34.000Z","150","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","68","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.5219022321204344","0.4885326188285035","0.5599550189393939","0.38475750114444607","15","NaN","3.526636172198888","NaN","4224","384","0.5533262310606061","0.379956634704885"
"tree_{'levels': 3}_sdim_1000_rfdim_500_lrV_0.04_seed_67","finished","-","","","2025-01-23T17:59:18.000Z","855","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","67","1000","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.5353764072060585","0.49367156598309087","0.5366358901515151","0.3975444962520049","40","2.5405306816101074","3.4426048348347345","3.9353514151139697","10560","960","0.5419034090909091","0.4039658095629847"
"tree_{'levels': 3}_sdim_200_rfdim_500_lrV_0.04_seed_67","finished","-","","","2025-01-23T17:56:24.000Z","173","4","0.1","0.04","0.1","","3","7","7","false","1536","500","1","67","200","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.497106888021032","0.5142387893742453","0.4874526515151515","0.3428090374083805","14","NaN","4.012614284500931","NaN","3960","360","0.4931936553030303","0.3483491794399511"
